source,date,rating,text
yelp,2026-03-15,5,"To be honest, I am Starbucks' biggest hater. BUT, we had to check out the Starbucks Reserve, and I am now extremely happy to report that I have a new item added to my list of top favorite eats EVER. The Matcha Margarita was one of the three drinks that came on the Seasonal Cocktail flight from the Arriviamo Bar. It is one of the best cocktails I have ever had. This margarita was a perfect balance of a punch of tequila contrasted with the mellowness of matcha. With a slight, lime flavor, this drink comes together so beautifully in the way it combines cocktail and coffee. I really have no notes for improvement. What really makes it stand out is the matcha cold foam (like how genius is that). Double Matcha Margarita El Tesoro Blanco Tequila, matcha, lime juice, agave nectar, matcha cold foam. Highly highly recommend all of the drinks in this trio. The Ube Espresso Martini was also insane - a classic espresso martini topped with ube cold foam. Because honestly, we all want cold foam on our espresso martinis. The classic espresso martini trio was solid, with my favorites being the lemon martini and orange martini. Starbucks Reserve... you did something with these drinks that I'll be thinking about for a while!"
yelp,2026-03-16,4,"My visit to the Starbucks Reserve Roastery Chicago was a great experience overall. The line to get in moved fairly quickly, which was a nice surprise considering how popular it is. That being said, because it's such a busy and popular spot, there was a fair amount of waiting throughout the experience. The roastery has four floors, and each one offers something different. The first floor is mainly for merchandise and was the quickest to get through. The second floor is the specialty cafe where you can order drinks and food. The third floor features the experimental coffee bar, which is fun if you're interested in trying more unique coffee options. The fourth floor serves alcoholic beverages, and that's where we had the Ube Espresso Martini, easily a 10/10. All of the employees we interacted with were pleasant and helpful. One thing to keep in mind: if something is sold out on one floor, they might still have it available on another floor, so it's worth checking. Overall, it was a really cool experience and definitely worth visiting if you're in the area."
yelp,2026-03-03,5,"While visiting Chicago, I was brought here by a local. Since I came during a winter storm, there was no line! We were greeted warmly by staff at the front. The first level mainly consists of souvenirs and to go orders. They also had the whiskey infused coffee! I went up the other floors and of course, I loved the cocktail floor! This floor had tiramisu espresso martini, which was so amazing! I sipped this as I gazed at the art that spanned from the first floor all the way to top! I also loved looking at the various types of tea that decorated the walls. They definitely have delicious looking food, better than any Starbucks that I've visited. Although a little busy, we were able to get a table so that we can enjoy our drinks and people watch. This definitely is a must visit when you're in Chicago."
yelp,2026-03-16,4,"I am not a Starbucks fanatic, but this was interesting to see while in town! My tiramisu latte was great & with a reusable cup. It came to $12. The second floor has savory food, the third floor had sweet food, and the 4th floor was the bar. We saw lots of pretty drinks coming from the bar but it was over a 30 minute wait so we did not get anything there. Service was adequate. Lots of seating inside and funky displays to look at."
yelp,2026-03-14,3,"First time to a Starbucks Reserve. Glad they had someone at the door to explain the layout. First floor is food and coffee to go. Third floor had a long line for seating so I took the escalator up to a quiet bar. Their mini martini flights are very expensive ($30-35) and I was disappointed that they don't allow for any substitutions - like a classic instead of a flavored. Seems like a heavy use of flavored sugar syrups to deliver their flavor of their trendy drinks - they look fancy but I'm not looking for a sugar bomb."
yelp,2026-02-23,4,"Starbucks roastery shops are always interesting to visit if you go to one of the cities that has one. Each floor is dedicated to a specific purpose, you could be food centered, coffee centered, or alcohol centered. Each location has their own bean blend too! This time, because it was very busy, I just got a coffee to quickly drink. It was delectable! I've tried their alcohol flights at another location but I would definitely be interested in coming back to try the pour over coffee flight with the Chi specific blend! PS, the highlight of the visit was the escalator! I've never seen a rotating spiral escalator before!!"
yelp,2026-03-03,5,"The Starbucks Reserve in Chicago is four levels of awesomeness. Such a cool experience from top to bottom -- incredible coffee, delicious pastries, coffee-infused martinis, pizza, and great sandwiches. There's something to try on every floor, and the atmosphere makes it more than just a coffee stop. Definitely a must-visit when in Chicago!"
yelp,2026-02-27,5,"I really had to visit the Chicago Starbucks Reserve Roastery, smack-dab in the middle of The Magnificent Mile of shopping. It's the largest Starbucks location in the world! There's four floors and a rooftop terrace. There's escalators, elevators, and stairs going up. Note that the escalators don't go all way back down to the ground level(!). It's all shiny and woody, with some stylish mid-room fireplaces (Feb 2026), lots of tables, and some barstools. The first three floors are about coffee, and the lines can be quite long, especially on the first two floors, with the first floor dedicated to takeout and some merch. Midday on a Sunday, the lines were so long, maybe 100 people waiting on the second floor, that I nearly postponed to another time. But the 3rd floor had only a dozen or so people waiting, and the friendly hardworking staff was quite efficient. They had Americano and espresso, and an array of baked goods and sandwiches, too. I came for espresso, and they had three Reserve roasts available at the time. There's plenty of seating around the large room. I was lucky to find an open barstool at the counter! When my buzzer went off after 5 or so minutes, they brought me luxurious ceramic cups and glasses of water on a handsome pewter-grey-color tray. The espressos were piping hot. Their own farm's Costa Rica Hacienda Alsacia Decaf espresso was a pleasant medium-to-dark roast, a little sour with a subtly fruity flavor, and a light aroma. The 1971 Dark, with Colombian, Sumatran, and Brazilian beans in homage to their founding blend, had a complex, lightly bitter, dusty flavor, with a pleasantly sour aroma. The strong Chicago Roastery Microblend leaned towards sweet fruity flavor, with intoxicating cocoa aroma. I sipped them slowly, in rotation, breaking between them with ice-cold water, staring unfocussed, probably sighing. I lingered over my mid-day espressos. Today's experience was exactly what i hoped for. I'll surely be back to try the 4th-floor espresso cocktails and the rooftop terrace."
yelp,2026-02-06,4,"I had the best time at the Starbucks reserve Roastery in Chicago. I was visiting Chicago from out of town and hotel was a few blocks away from here and I had to stop in and check it out. I walked in and instantly saw huge people everywhere waiting in line. I had just eaten, so luckily I wasn't tempted by any of the food, but I check out the merch that they had here and also get a drink. I was a little overwhelmed by all the different levels and they were different. I can tell the difference between the first and third floor with the offerings were. But I seem like they were there for drinks. On the second floor is where they had food items. On the fifth floor is where they had the bar. The decor inside and on every floor was unique and you could tell people are having a great time. I eventually found that one of the fourth out are shorted line and I ordered my mocha coffee. I was also able to buy the mug I wanted to get."
yelp,2026-01-27,3,"I'm not a Starbucks fan but I'm impressed with Starbucks Reserve Roastery in Chicago. Located on 4 Floors, this cafe is impressive. From standing outside, you can't miss the 56 Foot copper cask which is a multi story copper cylinder where coffee beans rest after roasting. The 1st floor is mostly retail items and the main roastery, 2nd floor is the bakery serving up sandwiches, breads, pastries, 3rd floor is the experimental bar, 4th floor is the coffee cocktail area. It was winter time, so we tried the espresso flight. For $27, it's a waste. Basically a trio of espresso with different flavored creams. But 3 is like the volume of 1 and charging you premium for a flight. Regardless, it's one of the nice cafes to visit in Chicago and a must visit."
yelp,2026-03-10,4,"We visited the Reserve multiple times during our Chicago trip since we are massive Starbucks fans. While we enjoyed the coffee roasting and tasting experience, it wasn't absolutely necessary. You can still have a great time just visiting, shopping for merch, and ordering a specialty drink and pastry. We had to do it since we're hardcore fans and have even been to the coffee farm in Costa Rica. But once was definitely enough for us. I really enjoyed the pistachio croissant and the hot chocolate flight, even though I'm not a big hot chocolate person. While I begrudgingly bought the expensive burgundy Chicago sweatshirt at the time, I'm really glad I did. It's so soft, and I find myself reaching for it often. I recommend going with a friend so you can divide and conquer: one of you tracks down a nice place to sit while the other gets in line to order drinks and food."
yelp,2026-01-08,5,"300th review and we got a winner here, baby!! So I am not a Starbucks fanatic - it's not my favorite coffee and it has gotten too expensive - but I am a Starbucks RESERVE fanatic! There are only 5 of these high concept coffee experiences in the world. Fortunately, one of these five is nearby in Chicago. Opened in 2019 and located in a 35,000 square foot building on the Magnificent Mile, you truly cannot miss seeing this massive, gorgeous building while touring the city. On this most recent visit in late December of 2025, we had nearly no line at 9am but it got veryyyyy busy just 30 minutes later. After thoroughly researching the menu and scoping out what they had out on trays, we both got a prosciutto herb croissant ($9 each), a masala chai latte ($7.50), and a cold brew with sweet cream cold foam ($7). My total after tax and tip was $41.19. YIKES! We didn't get a dessert this time around, but on our first visit here in December 2024, we split two magnificent desserts and gained about 5 pounds doing so. But my god, the croissant was heavenly. My Bf was obsessed with the spices in his masala chai tea and my coffee, while not anything out-of-the-box, was made well. I do wish they had sugar free cold foam here. You'll have to fight hundreds of other tourists to get a seat somewhere so don't be surprised if you chow down on $40 worth of food standing over a trash can... but you gotta for the vibesssssss."
yelp,2026-02-04,4,"Fave spot Morning Noon Night. Anytime so worth and the hype!!! Four levels. Level one, the regular inside of the Starbucks order your drink and that's it. Yes they do have Starbucks reserve merch that is exclusive only for that store. Second floor, the fun and reserve drinks. And food, of course the food and the drink drinks. Third floor more of the reserve drinks and food is there too. Fourth floor the 21+ floor, the one that serves alcohol and they have food. Bring your photo ID because they do check your age. As well, your reserve points will not be added to the card of yours. Fifth floor, the balcony yes you can order your drink and you will get it up there, but mostly is the experience. Please reserve this. Customer service is fantastic there everyone is super nice chill easy-going. My ultimate favorite is the pumpkin spice espresso martini, old fashion, and the eggnog martini. Food wise their pizza is phenomenal, and the peppermint cookie is really good."
yelp,2026-03-08,5,"First time at Starbucks reserve and once I opened the doors you get the smell of coffee immediately and greeted by a friendly staff member. The first thing I notice was the decor and I started taking pictures and video. We took the escalator to the 2nd floor where we ordered coffee, pastries and savory croissants. The tiramisu hot latte was out of this world delicious! The caprese on herb croissant is a must try. After we finished our coffee we took the escalator to the 4th floor where we sat at the bar and stayed there for about 2 hours. Wished every Starbucks served The cold brew spice rum. It's sooooo good. Definitely one of those drinks I'll never forget."
yelp,2026-02-28,2,"Crowded, hard to find seats, line for ordering, line for the bathroom, we ordered the tiramisu latte which was not good and nothing special compared regular Starbucks coffee. The inside of the building was cool if you've never been to a reserve roastery. Maybe I would have enjoyed it more if I signed up for one of their coffee roasting or cocktail making experiences but they were sold out and the cocktail flight itself was really small from the customers ordering it and it all seemed overpriced."
yelp,2026-02-20,4,"A solid way to start our week! Our flight left in the afternoon and check out was early, so we had some time to kill. The space in itself is really beautiful and designed really uniquely. Each floor has something different, it's a true coffee lovers experience! We started with breakfast at the second floor cafe. We got breakfast sandwiches and cold brew. I enjoyed both, their seasonal flavors were really delicious. We made our way to the third floor which is the cocktails. We ordered the seasonal espresso martini flight (still thinking about it) and an old fashioned. I really loved my mini martinis, the peppermint was my favorite. We made our way downstairs where there is tons of merch to look at. It's a must see when you're in Chi!"
yelp,2026-01-20,4,"While staying in Chicago, one of the concierge at my hotel had recommended that if I had never been at a Starbucks reserve roaster that I had to make the trip and check it out. Well I assumed it would be bigger. I did not expect it to be as big as this place actually was. Looking like some sort of multi-floor Glass lounge. It was a pretty impressive building to see. When I walked in there were people there to help greet me and answer any questions I had. I took a look around to check out some of their merch at Starbucks. They had a pretty cool selection of cups to choose from and some pretty cool styles. They also have some select coffee beans on sale that you can only get at through the reserve. Roastery. However, I thought they were a little expensive. They had a bourbon barrel one that was recommended at about $42 a pound that happened to also just be a medium roast. They also have the ability to come in and speak with roasters around noon each day. And there is also a tasting thing. You can book tickets for upstairs that if you have the free time I think might be worth doing and would recommend reserving in advance."
yelp,2026-02-27,5,"This is not your typical Starbucks. It's a world class coffee experience. Right in the middle of the Magnificent Mile, this place is massive. Multiple floors, a rooftop terrace, escalators, elevators, the whole thing. Each level has its own vibe and purpose, which honestly makes it fun to explore instead of just grabbing a drink and leaving. The design is gorgeous. Lots of warm wood, copper details, and open space. Each floor offers something different. The main level has your classic drinks and pastries. The upper floors get more creative with specialty brews, coffee flights, cocktails, and even barrel-aged coffee. You could easily spend an hour just walking around and deciding what to try. It does get busy. Lines can be long, especially on the lower floors, but if you go up a level it's usually more manageable."
